SMILES,熔点Tm,玻璃化转变温度Tg ,分解温度Td,密度ρ,生成焓H,爆速Df,爆压PG,撞击感度,摩擦感度,比冲,点火延迟,氧化剂,粘度,参考文献,cation,wrong_smiles
C[N+](CCN=[N+]=[N-])(C)C.N#C[N-]C#N,,9,235,1.15,518,,,,,,,,,,C[N+](C)(C)CCN=[N+]=[N-],
C[N+](CCN=[N+]=[N-])(C)C.N#C[N-][N+]([O-])=O,,28,245,1.24,380,,,,,,,,,,C[N+](C)(C)CCN=[N+]=[N-],
C[N+](CCN=[N+]=[N-])(C)C.O=[N+]([N-][N+]([O-])=O)[O-],,rt,219,1.36,251,,,,,,,,,,C[N+](C)(C)CCN=[N+]=[N-],
C[N+](CCN=[N+]=[N-])(CCN=[N+]=[N-])C.N#C[N-]C#N,,rt,222,1.21,894,,,,,,,,,,C[N+](C)(CCN=[N+]=[N-])CCN=[N+]=[N-],
C[N+](CCN=[N+]=[N-])(CCN=[N+]=[N-])C.N#C[N-][N+]([O-])=O,,rt,222,1.32,752,,,,,,,,,,C[N+](C)(CCN=[N+]=[N-])CCN=[N+]=[N-],
[N-]=[N+]=NCC[NH2+]CCN=[N+]=[N-].N#C[N-][N+]([O-])=O,,58,162,1.41,777,,,,,,,,,,[N-]=[N+]=NCC[NH2+]CCN=[N+]=[N-],
CC[NH+](CC)CC.[N-]=[N+]=[N-],,80,,1.01,457,,,,,,,,,,CC[NH+](CC)CC,
CC(C)[NH+](C)C.[N-]=[N+]=[N-],,75,,0.99,430,,,,,,,,,,CC(C)[NH+](C)C,
[H][B-]([H])(C#N)C#N.CCCC[N+](C)(N)C,,-80,222,0.91,,,,,,,,,,,CCCC[N+](C)(C)N,
CCCC[N+]1(C)CCCC1.[H][B-]([H])(C#N)C#N,,-80,303,0.92,,,,,,,,,,,CCCC[N+]1(C)CCCC1,
CCCC[N+]1=CC=CC=C1.[H][B-]([H])(C#N)C#N,,-80,252,0.96,,,,,,,,,,,CCCC[n+]1ccccc1,
CCCC[N+]1=CN(C)N=C1.[H][B-]([H])(C#N)C#N,,-80,220,0.99,,,,,,,,,,,CCCC[n+]1cnn(C)c1,
CCCC[N+]1=CN(C)C=C1.[H][B-]([H])(C#N)C#N,,-80,307,0.96,,,,,,,,,,,CCCC[n+]1ccn(C)c1,
C=CC[N+](C)(N)C.[H][B@-]([H])(C#N)C#N,,-80,189,0.93,,,,,,,,,,,C=CC[N+](C)(C)N,
C[N+]1(CC=C)CCCC1.[H][B@-]([H])(C#N)C#N,,-80,259,0.94,,,,,,,,,,,C=CC[N+]1(C)CCCC1,
C=CC[N+]1=CC=CC=C1.[H][B@-]([H])(C#N)C#N,,-80,203,1,,,,,,,,,,,C=CC[n+]1ccccc1,
C=CC[N+]1=CN(C)N=C1.[H][B-]([H])(C#N)C#N,,-80,217,1.03,,,,,,,,,,,C=CC[n+]1cnn(C)c1,
C=CC[N+]1=CN(C)C=C1.[H][B-]([H])(C#N)C#N,,-80,266,0.99,,,,,,,,,,,C=CC[n+]1ccn(C)c1,
CN1C=C[N+](CCCC)=C1.N#C[N-]C#N,,-6,300,1.06,,,,,,,,,,,CCCC[n+]1ccn(C)c1,
N[N+]1=CN(C)N=C1.N#C[N-]C#N,,-66,143,,,,,,,,,,,,Cn1c[n+](N)cn1,
CN1C=C[N+](CCCC)=C1.F[B-](F)(F)F,,-81,360,1.17,,,,,,,,,,,CCCC[n+]1ccn(C)c1,
N#C[N-]C#N.CCCC[N+]1(C)CCCC1,,-55,-55,0.95,,,,,,,,,,,CCCC[N+]1(C)CCCC1,
CN1C=C[N+]([B-]([H])([H])[N+]2=CN(C)C=C2)=C1.[O-][N+]([O-])=O,,90,217,1.28,-164.6,,,,,,,,,,Cn1cc[n+]([BH2-][n+]2ccn(C)c2)c1,
CN1C=C[N+]([B-]([H])([H])[N+]2=CN(C)C=C2)=C1.N#C[N-]C#N,,30,196,1.12,134.5,,,,,,,,,,Cn1cc[n+]([BH2-][n+]2ccn(C)c2)c1,
CN1C=C[N+]([B-]([H])([H])[N+]2=CN(C)C=C2)=C1.N#C[N-][N+]([O-])=O,,-80,227,1.2,1.6,,,,,,,,,,Cn1cc[n+]([BH2-][n+]2ccn(C)c2)c1,
CN1C=C[N+]([B-]([H])([H])[N+]2=CN(C)C=C2)=C1.N#C[BH2-]C#N,,62,306,1.12,291.5,,,,,,,,,,Cn1cc[n+]([BH2-][n+]2ccn(C)c2)c1,
[H][B-]([N+]1=CN(C=CC)C=C1)([H])[N+]2=CN(C=CC)C=C2.[O-][N+]([O-])=O,,-80,198,1.15,273.7,,,,,,,,,,CC=Cn1cc[n+]([BH2-][n+]2ccn(C=CC)c2)c1,
[H][B-]([N+]1=CN(C=CC)C=C1)([H])[N+]2=CN(C=CC)C=C2.N#C[N-]C#N,,-80,190,1.09,88.9,,,,,,,,,,CC=Cn1cc[n+]([BH2-][n+]2ccn(C=CC)c2)c1,
[H][B-]([N+]1=CN(C=CC)C=C1)([H])[N+]2=CN(C=CC)C=C2.N#C[N-][N+]([O-])=O,,-80,236,1.14,430.5,,,,,,,,,,CC=Cn1cc[n+]([BH2-][n+]2ccn(C=CC)c2)c1,
[H][B-]([N+]1=CN(C=CC)C=C1)([H])[N+]2=CN(C=CC)C=C2.N#C[BH2-]C#N,,-80,266,1.05,248.9,,,,,,,,,,CC=Cn1cc[n+]([BH2-][n+]2ccn(C=CC)c2)c1,
[NH3+]OCCON.[O-][N+]([O-])=O,,75,80,,,,,,,,,,,,NOCCO[NH3+],
[NH3+]OCCON.O=[N+]([N-][N+]([O-])=O)[O-],,58,76,,,,,,,,,,,,NOCCO[NH3+],
[NH3+]OCCO[NH3+].O=[N+]([N-][N+]([O-])=O)[O-].O=[N+]([N-][N+]([O-])=O)[O-],,-1,118,,,,,,,,,,,,[NH3+]OCCO[NH3+],
C[N+]1=CN(CCCCC)C=C1.[BH3-]C#N,,<-50,275,0.9251,-7207,,,,,234,,,,,CCCCCn1cc[n+](C)c1,
C[N+]1=CN(CCCCCCCC)C=C1.[BH3-]C#N,,-36.22,283,0.9056,-9267,,,,,236,,,,,CCCCCCCCn1cc[n+](C)c1,
C=CC[N+]1=CN(CCC=C)C=C1.[BH3-]C#N,,<-50,247,0.9582,-6885,,,,,233,,,,,C=CCCn1cc[n+](CC=C)c1,
CC[N+]1=CN(CCC=C)C=C1.[BH3-]C#N,,<-50,265,0.9533,-6350,,,,,232,,,,,C=CCCn1cc[n+](CC)c1,
C=CCN1C=[N+](CCC)C=C1.[BH3-]C#N,,<-50,256,0.9403,-7037,,,,,233,,,,,C=CCn1cc[n+](CCC)c1,
C=CCN1C=[N+](CCCC)C=C1.[BH3-]C#N,,<-50,264,0.931,-7749,,,,,234,,,,,C=CCn1cc[n+](CCCC)c1,
C=CCN1C=[N+](CCCCCCCC)C=C1.[BH3-]C#N,,<-50,265,0.9078,-10460,,,,,234,,,,,C=CCn1cc[n+](CCCCCCCC)c1,
CN1C=[N+](CC=C)C=C1.N#C[BH2-]N2N=NC=C2,,<-70,203,1.1116,358.7,,,,,289.6,5,,34.74,,C=CC[n+]1ccn(C)c1,
C=C[N+]1=CN(CC=C)C=C1.N#C[BH2-]N2N=NC=C2,,<-70,193,1.1281,471.6,,,,,289.6,8,,52.12,,C=CCn1cc[n+](C=C)c1,
CN1C=[N+](CC)C=C1.N#C[BH2-]N2N=NC=C2,,<-70,241,1.1155,242.3,,,,,293.5,9,,27.59,,CC[n+]1ccn(C)c1,
CN1C=[N+](CCCC)C=C1.N#C[BH2-]N2N=NC=C2,,<-70,232,1.0784,216.2,,,,,290.8,32,,30.66,,CCCC[n+]1ccn(C)c1,
N#C[BH2-]N1N=NC=C1.C[N+]2(CC)CCCC2,,<-70,224,1.0586,111.7,,,,,293.7,25,,38.83,,CC[N+]1(C)CCCC1,
N#C[BH2-]N1N=NC=C1.C[N+]2(CCC)CCCC2,,<-70,215,1.0464,97,,,,,292.7,38,,22.48,,CCC[N+]1(C)CCCC1,
N#C[BH2-]N1N=NC=C1.C[N+]2(CCCC)CCCC2,,<-70,219,1.0353,83.2,,,,,292.8,57,,59.63,,CCCC[N+]1(C)CCCC1,
N#C[BH2-]N1N=NC=C1.CC[N+]2=CC=CC=C2,,<-70,193,1.1179,292.3,,,,,288.6,17,,41.9,,CC[n+]1ccccc1,
N#C[BH2-]N1N=NC=C1.CCCC[N+]2=CC=CC=C2,,<-70,223,1.071,265.8,,,,,289.6,28,,50.07,,CCCC[n+]1ccccc1,
CN1C=[N+](C)C=C1.[H][B-]([H])(N2N=NN=C2)N3N=NN=C3,,21,223,1.28,,,,,,264,,,,,Cn1cc[n+](C)c1,
CN1C=[N+](CC)C=C1.[H][B-]([H])(N2N=NN=C2)N3N=NN=C3,,<-70,226,1.24,,,,,,264,,,,,CC[n+]1ccn(C)c1,
CN1C=[N+](CCCC)C=C1.[H][B-]([H])(N2N=NN=C2)N3N=NN=C3,,<-70,219,1.24,,,,,,261,,,,,CCCC[n+]1ccn(C)c1,
CN1C=[N+](CC=C)C=C1.[H][B-]([H])(N2N=NN=C2)N3N=NN=C3,,<-70,222,1.25,,,,,,265,,,,,C=CC[n+]1ccn(C)c1,
C=CC[N+]1=CN(CC=C)C=C1.[H][B-]([H])(N2N=NN=C2)N3N=NN=C3,,<-70,225,1.21,,,,,,264,,,,,C=CCn1cc[n+](CC=C)c1,
[H][B-]([H])(N1N=NN=C1)N2N=NN=C2.C[N+]3(CCCC)CCCC3,,<-70,230,1.2,,,,,,264,,,,,CCCC[N+]1(C)CCCC1,
[H][B-]([H])(N1N=NN=C1)N2N=NN=C2.C[N+]3(CC=C)CCCC3,,<-70,219,1.22,,,,,,263,,,,,C=CC[N+]1(C)CCCC1,
[H][B-]([H])(N1N=NN=C1)N2N=NN=C2.CC[N+]3=CC=CC=C3,,23,170,1.26,,,,,,263,,,,,CC[n+]1ccccc1,
[H][B-]([H])(N1N=NN=C1)N2N=NN=C2.CCCC[N+]3=CC=CC=C3,,<-70,166,1.25,,,,,,261,,,,,CCCC[n+]1ccccc1,
[H][B-]([H])(N1N=NN=C1)N2N=NN=C2.C=CC[N+]3=CC=CC=C3,,<-70,149,1.28,,,,,,264,,,,,C=CC[n+]1ccccc1,
[H][B-]([H])(C#N)N1N=NN=C1.CN2C=C[N+](CC)=C2,,<-70,233,1.12,,,,,,184,,,,,CC[n+]1ccn(C)c1,
[H][B-]([H])(C#N)N1N=NN=C1.CN2C=C[N+](CCCC)=C2,,<-70,231,1.1,,,,,,177,,,,,CCCC[n+]1ccn(C)c1,
[H][B-]([H])(C#N)N1N=NN=C1.CN2C=C[N+](CC=C)=C2,,<-70,228,1.15,,,,,,195,,,,,C=CC[n+]1ccn(C)c1,
[H][B-]([H])(C#N)N1N=NN=C1.C[N+]2(CC)CCCC2,,-8,193,1.09,,,,,,179,,,,,CC[N+]1(C)CCCC1,
[H][B-]([H])(C#N)N1N=NN=C1.C[N+]2(CCCC)CCCC2,,-47,200,1.08,,,,,,173,,,,,CCCC[N+]1(C)CCCC1,
[H][B-]([H])(C#N)N1N=NN=C1.CC[N+]2=CC=CC=C2,,<-70,175,1.17,,,,,,183,,,,,CC[n+]1ccccc1,
[H][B-]([H])(C#N)N1N=NN=C1.CCCC[N+]2=CC=CC=C2,,<-70,180,1.13,,,,,,180,,,,,CCCC[n+]1ccccc1,
[H][B-]([H])(C#N)N1N=NN=C1.C=CC[N+]2=CC=CC=C2,,<-70,165,1.17,,,,,,189,,,,,C=CC[n+]1ccccc1,
[H][B-]([H])(N1C=NC=N1)N2C=NC=N2.[H][B-]([N+]3=CN(C)C=C3)([H])[N+]4=CN(C)C=C4,,-44.9,256.8,1.16,214,,,,,260,,,,,Cn1cc[n+]([BH2-][n+]2ccn(C)c2)c1,
[H][B-]([H])(N1C=NC=N1)N2C=NC=N2.[H][B-]([N+]3=CN(CC)C=C3)([H])[N+]4=CN(CC)C=C4,,-51.1,250.6,1.12,158,,,,,260,,,,,CCn1cc[n+]([BH2-][n+]2ccn(CC)c2)c1,
[H][B-]([H])(N1C=NC=N1)N2C=NC=N2.[H][B-]([N+]3=CN(CCC)C=C3)([H])[N+]4=CN(CCC)C=C4,,-52.1,258.6,1.1,120,,,,,261,,,,,CCCn1cc[n+]([BH2-][n+]2ccn(CCC)c2)c1,
[H][B-]([H])(N1C=NC=N1)N2C=NC=N2.[H][B-]([N+]3=CN(CCCC)C=C3)([H])[N+]4=CN(CCCC)C=C4,,-57.6,248.4,1.07,83,,,,,261,,,,,CCCCn1cc[n+]([BH2-][n+]2ccn(CCCC)c2)c1,
[H][B-](N1C=NC=N1)(N2C=NC=N2)[H].C=CCN3C=C[N+]([B-]([N+]4=CN(CC=C)C=C4)([H])[H])=C3,,-56.2,205.4,1.12,390,,,,,262,,,,,C=CCn1cc[n+]([BH2-][n+]2ccn(CC=C)c2)c1,
[H][B-]([H])([N+]1=CN(C)C=C1)[N+]2=CN(C=C2)C.[H][B-](N3N=CN=C3)(N4C=NC=N4)N5C=NC=N5,,-28.8,240.6,1.22,286.9,,,,,257.5,,,,,Cn1cc[n+]([BH2-][n+]2ccn(C)c2)c1,
[H][B-](N1C=NC=N1)(N2C=NC=N2)N3C=NC=N3.[H][B-]([N+]4=CN(C=C4)CC)([N+]5=CN(CC)C=C5)[H],,-37.8,245.1,1.18,230,,,,,258.3,,,,,CCn1cc[n+]([BH2-][n+]2ccn(CC)c2)c1,
[H][B-](N1C=NC=N1)(N2C=NC=N2)N3C=NC=N3.[H][B-]([N+]4=CN(CCC)C=C4)([H])[N+]5=CN(CCC)C=C5,,-47.1,248.7,1.13,193.1,,,,,259,,,,,CCCn1cc[n+]([BH2-][n+]2ccn(CCC)c2)c1,
[H][B-](N1C=NC=N1)(N2C=NC=N2)N3C=NC=N3.[H][B-]([N+]4=CN(CCCC)C=C4)([H])[N+]5=CN(CCCC)C=C5,,-42.2,239,1.12,152.4,,,,,261.6,,,,,CCCCn1cc[n+]([BH2-][n+]2ccn(CCCC)c2)c1,
[H][B-](N1C=NC=N1)(N2C=NC=N2)N3C=NC=N3.[H][B-]([N+]4=CN(CC=C)C=C4)([H])[N+]5=CN(CC=C)C=C5,,-44.2,225.4,1.17,461.1,,,,,259.7,,,,,C=CCn1cc[n+]([BH2-][n+]2ccn(CC=C)c2)c1,
C[N+]1=CN(C)C=C1.BB2B(B(B[BH-2]B2B[NH3+])B)B(B)B,,210.7,278.2,1.14,96.7,,,,,276.1,,,,,Cn1cc[n+](C)c1,
CN1C=[N+](CC)C=C1.BB2B(B(B[BH-2]B2B[NH3+])B)B(B)B,,160,270.2,1.06,-13.2,,,,,275.3,,,,,CC[n+]1ccn(C)c1,
CN1C=[N+](CCC)C=C1.BB2B(B(B[BH-2]B2B[NH3+])B)B(B)B,,133.9,264.6,1.08,-40.1,,,,,274.9,,,,,CCC[n+]1ccn(C)c1,
CN1C=[N+](CC=C)C=C1.BB2B(B(B[BH-2]B2B[NH3+])B)B(B)B,,170.5,248.8,1.17,388.1,,,,,275.3,,,,,C=CC[n+]1ccn(C)c1,
CN1C=[N+](CC#C)C=C1.BB2B(B(B[BH-2]B2B[NH3+])B)B(B)B,,198.3,215.6,1.19,1073,,,,,276.8,,,,,C#CC[n+]1ccn(C)c1,
CN1C=[N+](CC#N)C=C1.BB2B(B(B[BH-2]B2B[NH3+])B)B(B)B,,227.2,243.5,1.15,835.3,,,,,275.7,,,,,Cn1cc[n+](CC#N)c1,
BB1B(B(B[BH-2]B1B)B)B(B)B.C=CN2C=C[N+]([Cu-2]([N+]3=CN(C=C)C=C3)([N+]4=CN(C=C)C=C4)[N+]5=CN(C=C)C=C5)=C2,,212.2,221.8,1.264,,,,,,,,,,,C=Cn1cc[n+]([Cu-2]([n+]2ccn(C=C)c2)([n+]2ccn(C=C)c2)[n+]2ccn(C=C)c2)c1,
BB1B(B(B[BH-2]B1B)B)B(B)B.C=CCN2C=C[N+]([Cu-2]([N+]3=CN(CC=C)C=C3)([N+]4=CN(CC=C)C=C4)[N+]5=CN(CC=C)C=C5)=C2,,231,234.2,1.221,,,,,,,,,,,C=CCn1cc[n+]([Cu-2]([n+]2ccn(CC=C)c2)([n+]2ccn(CC=C)c2)[n+]2ccn(CC=C)c2)c1,
BB1B(B(B[BH-2]B1B)B)B(B)B.C=CN2C=C[N+]([Zn-2]([N+]3=CN(C=C)C=C3)([N+]4=CN(C=C)C=C4)[N+]5=CN(CC=C)C=C5)=C2,,196.7,250,1.217,,,,,,,,,,,C=CCn1cc[n+]([Zn-2]([n+]2ccn(C=C)c2)([n+]2ccn(C=C)c2)[n+]2ccn(C=C)c2)c1,
BB1B(B(B[BH-2]B1B)B)B(B)B.C=CCN2C=C[N+]([Zn-2]([N+]3=CN(CC=C)C=C3)([N+]4=CN(CC=C)C=C4)[N+]5=CN(CC=C)C=C5)=C2,,205.2,274.2,1.215,,,,,,,,,,,C=CCn1cc[n+]([Zn-2]([n+]2ccn(CC=C)c2)([n+]2ccn(CC=C)c2)[n+]2ccn(CC=C)c2)c1,
BB1B(B(B[BH-2]B1B)B)B(B)B.C=CN(C=C2)C=[N+]2[Ni-2]([N+]3=CN(C=C)C=C3)([N+]4=CN(C=C)C=C4)[N+]5=CN(C=C)C=C5,,269.3,286.3,1.219,,,,,,,,,,,C=Cn1cc[n+]([Ni-2]([n+]2ccn(C=C)c2)([n+]2ccn(C=C)c2)[n+]2ccn(C=C)c2)c1,
BB1B(B(B[BH-2]B1B)B)B(B)B.C=CCN2C=C[N+]([Ni-2]([N+]3=CN(CC=C)C=C3)([N+]4=CN(CC=C)C=C4)[N+]5=CN(CC=C)C=C5)=C2,,251.8,276.2,1.259,,,,,,,,,,,C=CCn1cc[n+]([Ni-2]([n+]2ccn(CC=C)c2)([n+]2ccn(CC=C)c2)[n+]2ccn(CC=C)c2)c1,
O=[N+](OCC[N+]1=CC=CCC=C1)[O-].N#C[N-]C#N,60,,186.6,,237,,,,,233.8,,,,,O=[N+]([O-])OCC[N+]1=CC=CCC=C1,
N#C[N-]C#N.CCC[N+]12CCC(CC2)CC1,76,,320.7,,123.7,,,,,261.6,,,,,CCC[N+]12CCC(CC1)CC2,
N#C[N-]C#N.C=CC[N+]12CCC(CC2)CC1,64.8,,236,,431.1,,,,,265.2,,,,,C=CC[N+]12CCC(CC1)CC2,
N#C[N-]C#N.C#CC[N+]12CCN(CC2)CC1,105.8,,208.2,,537.5,,,,,266.2,,,,,C#CC[N+]12CCN(CC1)CC2,
[BH3-]C#N.CCN(CC)[C+]1C(N(CC)CC)C1N(CC)CC,-24,,211,,145.1,,,,,304.6,,,,,CCN(CC)[C+]1C(N(CC)CC)C1N(CC)CC,
C=CCN(CC=C)[C+]1C(N(CC=C)CC=C)C1N(CC=C)CC=C.N#C[BH2-]C2=CNC=N2,-20,,170,,864.8,,,,,300.9,,,,,C=CCN(CC=C)[C+]1C(N(CC=C)CC=C)C1N(CC=C)CC=C,
CCN(CC)[C+]1C(N(CC)CC)C1N(CC)CC.N#C[BH2-]C2=CNC=N2,-28,,194,,193.3,,,,,301.9,,,,,CCN(CC)[C+]1C(N(CC)CC)C1N(CC)CC,
CN(CCC)[C+]1C(N(C)CC=C)C1N(C)CCC.N#C[BH2-]C2=CNC=N2,-24,,155,,608.9,,,,,301.2,,,,,C=CCN(C)C1[C+](N(C)CCC)C1N(C)CCC,
N#C[N-]C#N.CCCC[N+]1(CC#C)CCC1,<-80,,114,,330.4,,,,,184.5,,,,,C#CC[N+]1(CCCC)CCC1,
C[N+](CCN=[N+]=[N-])(CC)CC.N#C[N-]C#N,<-70,,200.5,,310,,,,,262.6,,,,,CC[N+](C)(CC)CCN=[N+]=[N-],
C[N+](C)(C)CCCN=[N+]=[N-].N#C[N-]C#N,<-70,,204.2,,258.8,,,,,261.1,,,,,C[N+](C)(C)CCCN=[N+]=[N-],
N#C[N-]C#N.C[N+]1(CCN=[N+]=[N-])CCCC1,<-70,,205,,307.3,,,,,260.8,,,,,C[N+]1(CCN=[N+]=[N-])CCCC1,
N#C[N-]C#N.C[N+]1(CCCCC1)CCN=[N+]=[N-],<-70,,209,,285.2,,,,,261,,,,,C[N+]1(CCN=[N+]=[N-])CCCCC1,
N#C[N-]C#N.C[N+]1(CCOCC1)CCN=[N+]=[N-],<-70,,205.7,,198.4,,,,,260,,,,,C[N+]1(CCN=[N+]=[N-])CCOCC1,
CC[N+]1=CN(C)C=C1.[O-][P+](OC)([BH3-])OC,-49,,210,,,,,,,243.2,,,,,CC[n+]1ccn(C)c1,
CN1C=[N+](CCCC)C=C1.[O-][P+](OC)([BH3-])OC,-47,,215,,,,,,,245.6,,,,,CCCC[n+]1ccn(C)c1,
C[N+]1(CC)CCCC1.[O-][P+](OC)([BH3-])OC,-49,,224,,,,,,,246,,,,,CC[N+]1(C)CCCC1,
C[N+]1(CCC)CCCC1.[O-][P+](OC)([BH3-])OC,-48,,226,,,,,,,247.5,,,,,CCC[N+]1(C)CCCC1,
C[N+]1(CCCC)CCCC1.[O-][P+](OC)([BH3-])OC,-45,,231,,,,,,,246.9,,,,,CCCC[N+]1(C)CCCC1,
CC[N+](CC)(CC)CC.[O-][P+](OC)([BH3-])OC,-47,,235,,,,,,,248.4,,,,,CC[N+](CC)(CC)CC,
CC[N+]1=CN(C)C=C1.[O-][P+](OCC)([BH3-])OCC,-17,,215,,,,,,,247.9,,,,,CC[n+]1ccn(C)c1,
CN1C=[N+](CCCC)C=C1.[O-][P+](OCC)([BH3-])OCC,-13,,213,,,,,,,249.2,,,,,CCCC[n+]1ccn(C)c1,
C[N+]1(CC)CCCC1.[O-][P+](OCC)([BH3-])OCC,-17,,232,,,,,,,248.8,,,,,CC[N+]1(C)CCCC1,
C[N+]1(CCC)CCCC1.[O-][P+](OCC)([BH3-])OCC,-16,,236,,,,,,,249.8,,,,,CCC[N+]1(C)CCCC1,
CCCC[N+]1CCCC1.[O-][P+](OCC)([BH3-])OCC,-15,,228,,,,,,,249,,,,,CCCC[N+]1CCCC1,
CC[N+](CC)(CC)CC.[O-][P+](OCC)([BH3-])OCC,-18,,230,,,,,,,250,,,,,CC[N+](CC)(CC)CC,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.CN3C=[N+](C)C=C3,21,,223,,565.2,,,,,264,,,,,Cn1cc[n+](C)c1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.CN3C=[N+](CC)C=C3,<-70,,226,,578,,,,,264,,,,,CC[n+]1ccn(C)c1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.CN3C=[N+](CC=C)C=C3,<-70,,222,,702.5,,,,,265,,,,,C=CC[n+]1ccn(C)c1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.C[N+]3=CN(CC=C)C=C3,<-70,,225,,720.6,,,,,264,,,,,C=CCn1cc[n+](C)c1,
C[N+]1(CC=C)CCCC1.[H][B-](N2C=NN=N2)([H])N3N=NN=C3,<-70,,219,,506.1,,,,,263,,,,,C=CC[N+]1(C)CCCC1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.CC[N+]3=CC=CC=C3,23,,170,,576.8,,,,,263,,,,,CC[n+]1ccccc1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.C=CC[N+]3=CC=CC=C3,<-70,,149,,692.4,,,,,264,,,,,C=CC[n+]1ccccc1,
[H][B-]([N+]1=CN(CC)C=C1)([H])[N+]2=CN(CC)C=C2.[H][B-](N3N=CN=C3)([H])N4N=CN=C4,-51.1,,250.5,,158.3,,,,,260.3,,,,,CCn1cc[n+]([BH2-][n+]2ccn(CC)c2)c1,
[H][B-]([N+]1=CN(CC=C)C=C1)([H])[N+]2=CN(CC=C)C=C2.[H][B-](N3N=CN=C3)([H])N4N=CN=C4,-56.2,,205.4,,390.2,,,,,261.7,,,,,C=CCn1cc[n+]([BH2-][n+]2ccn(CC=C)c2)c1,
[H][B-](N1N=NN=C1)(C#N)[H].CN2C=[N+](CC)C=C2,<-70,,233,,256.7,,,,,184,,,,,CC[n+]1ccn(C)c1,
[H][B-](N1N=NN=C1)(C#N)[H].CN2C=[N+](CCC)C=C2,<-70,,231,,197.4,,,,,177,,,,,CCC[n+]1ccn(C)c1,
[H][B-](N1N=NN=C1)(C#N)[H].CN2C=[N+](CC=C)C=C2,<-70,,228,,427.6,,,,,195,,,,,C=CC[n+]1ccn(C)c1,
[H][B-](N1N=NN=C1)(C#N)[H].CC[N+]2(C)CCCC2,-8,,193,,118.8,,,,,179,,,,,CC[N+]1(C)CCCC1,
[H][B-](N1N=NN=C1)(C#N)[H].CCC[N+]2(C)CCCC2,-13,,200,,67,,,,,173,,,,,CCC[N+]1(C)CCCC1,
[H][B-](N1N=NN=C1)(C#N)[H].CC[N+]2=CC=CC=C2,<-70,,175,,299.2,,,,,183,,,,,CC[n+]1ccccc1,
[H][B-](N1N=NN=C1)(C#N)[H].CCC[N+]2=CC=CC=C2,<-70,,180,,280.4,,,,,180,,,,,CCC[n+]1ccccc1,
[H][B-](N1N=NN=C1)(C#N)[H].C=CC[N+]2=CC=CC=C2,<-70,,165,,417.7,,,,,189,,,,,C=CC[n+]1ccccc1,
N#C[N-]C#N.CC[N+]1=CN(C)C=C1,-18,,284,1.105,274,,,,,247,,,,,CC[n+]1ccn(C)c1,
N#C[N-]C#N.CN1C=[N+](CCCC)C=C1,-6,,283,1.061,244,,,,,244.2,,,,,CCCC[n+]1ccn(C)c1,
N#C[N-]C#N.CN1C=[N+](CCCCCC)C=C1,,<-80,283,1.025,221,,,,,242.7,,,,,CCCCCC[n+]1ccn(C)c1,
N#C[N-]C#N.CN1C=[N+](CCCCCCCC)C=C1,-5,,286,1.006,193,,,,,241.3,,,,,CCCCCCCC[n+]1ccn(C)c1,
N#C[N-]C#N.CN1C=[N+](CC=C)C=C1,,<-80,277,1.117,382,,,,,250.3,,,,,C=CC[n+]1ccn(C)c1,
N#C[N-]C#N.CN1C=[N+](C=C)C=C1,26,,249,1.145,406,,,,,253.1,,,,,C=C[n+]1ccn(C)c1,
N#C[N-]C#N.C=CN1C=[N+](CC=C)C=C1,2,,233,1.23,485,,,,,253.2,,,,,C=CC[n+]1ccn(C=C)c1,
N#C[N-]C#N.CN1C=[N+](CCCC#C)C=C1,,<-80,274,1.127,440,,,,,250.5,,,,,C#CCCC[n+]1ccn(C)c1,
N#C[N-]C#N.CN1C=[N+](CCO)C=C1,,-60,240,1.189,129,,,,,250.5,,,,,Cn1cc[n+](CCO)c1,
[H][B-]([H])([N+]1=CN(C=C1)C)[N+]2=CN(C=C2)C.[H][B-]([H])(N3N=CN=C3)N4N=CN=C4,,-44.9,256.8,1.16,410.8,,,,,259.8,399,,1.72,,Cn1cc[n+]([BH2-][n+]2ccn(C)c2)c1,
[H][B-]([H])([N+]1=CN(C=C1)CC)[N+]2=CN(C=C2)CC.[H][B-]([H])(N3N=CN=C3)N4N=CN=C4,,-51.1,250.6,1.12,400,,,,,260.3,26,,0.801,,CCn1cc[n+]([BH2-][n+]2ccn(CC)c2)c1,
[H][B-]([H])([N+]1=CN(C=C1)CCC)[N+]2=CN(C=C2)CCC.[H][B-]([H])(N3N=CN=C3)N4N=CN=C4,,-52.1,258.6,1.1,391,,,,,260.9,111,,1.282,,CCCn1cc[n+]([BH2-][n+]2ccn(CCC)c2)c1,
[H][B-]([H])([N+]1=CN(C=C1)CCCC)[N+]2=CN(C=C2)CCCC.[H][B-]([H])(N3N=CN=C3)N4N=CN=C4,,-57.6,248.4,1.07,381.7,,,,,261.3,190,,1.038,,CCCCn1cc[n+]([BH2-][n+]2ccn(CCCC)c2)c1,
